in_alterations,diseases,prognosis,sources,out_alterations
FLT3 ITD,Acute Myeloid Leukemia,Unfavorable,NCCN|MCG,
FLT3 ITD|NPM1 Exon 12 Mutation,Acute Myeloid Leukemia,Unfavorable,NCCN,
CEBPA Biallelic Mutation|FLT3 ITD,Acute Myeloid Leukemia,Unfavorable,NCCN,
NPM1 Exon 12 Mutation,Acute Myeloid Leukemia,Favorable,NCCN,Complex karyotype|FLT3 ITD|Monosomal karyotype|Very Complex karyotype
CEBPA Biallelic Mutation,Acute Myeloid Leukemia,Favorable,NCCN,Complex karyotype|FLT3 ITD|Monosomal karyotype|Very Complex karyotype
FLT3 D835E|FLT3 D835H|FLT3 D835N|FLT3 D835V|FLT3 D835Y|FLT3 I836D|FLT3 I836F|FLT3 I836H|FLT3 I836L|FLT3 I836M|FLT3 I836V|FLT3 ITD,Acute Myeloid Leukemia,Unfavorable,NCCN,
FLT3 D835E|FLT3 D835H|FLT3 D835N|FLT3 D835V|FLT3 D835Y|FLT3 I836D|FLT3 I836F|FLT3 I836H|FLT3 I836L|FLT3 I836M|FLT3 I836V,Acute Myeloid Leukemia,Conflicting,NCCN,CEBPA Biallelic Mutation|NPM1 Exon 12 Mutation
IDH1 R132C|IDH1 R132G|IDH1 R132H|IDH1 R132L|IDH1 R132P|IDH1 R132S,Acute Myeloid Leukemia,Conflicting,NCCN,
IDH2 R140G|IDH2 R140L|IDH2 R140Q|IDH2 R140W|IDH2 R172K|IDH2 R172M|IDH2 R172S,Acute Myeloid Leukemia,Conflicting,NCCN,FLT3 ITD
DNMT3A R882C|DNMT3A R882G|DNMT3A R882H|DNMT3A R882L|DNMT3A R882P|DNMT3A R882S|FLT3 ITD|NPM1 Exon 12 Mutation,Acute Myeloid Leukemia,Unfavorable,NCCN,
DNMT3A R882C|DNMT3A R882G|DNMT3A R882H|DNMT3A R882L|DNMT3A R882P|DNMT3A R882S,Acute Myeloid Leukemia,Unfavorable,NCCN,NPM1 Exon 12 Mutation
DNMT3A R882C|DNMT3A R882G|DNMT3A R882H|DNMT3A R882L|DNMT3A R882P|DNMT3A R882S|NPM1 Exon 12 Mutation,Acute Myeloid Leukemia,Favorable,NCCN,Complex karyotype|FLT3 ITD|Monosomal karyotype|Very Complex karyotype
del(5)(q10)|del(7)(q10),Acute Myeloid Leukemia,Unfavorable,NCCN,
KMT2A-MLLT3 Fusion|Normal karyotype|Trisomy 8,Acute Myeloid Leukemia,Intermediate risk,NCCN,BCR-ABL1 Fusion|Complex karyotype|DEK-NUP214 Fusion|Monosomal karyotype|Monosomy 5|Monosomy 7|Nullisomy 5|Nullisomy 7|RPN1-MECOM Fusion|RPN1-MECOM Inversion|StrucGain(11)(q23q33)|Very Complex karyotype|del(5)(q10)|del(7)(q10)|dup(11)(q23q33)
CBFB-MYH11 Fusion|CBFB-MYH11 Inversion|PML-RARA Fusion,Acute Myeloid Leukemia,Favorable,NCCN,Complex karyotype|Monosomal karyotype|Very Complex karyotype
KIT D816H|KIT D816I|KIT D816V|KIT D816Y|KIT Exon 8 Mutation|KIT N822K|KIT N822Y|RUNX1-RUNX1T1 Fusion,Acute Myeloid Leukemia,Unfavorable,MCG,
